,_id,Produto,Categoria do Produto,Preço,Frete,Data da Compra,Vendedor,Local da compra,Avaliação da compra,Tipo de pagamento,Quantidade de parcelas,Latitude,Longitude
0,673a4b53528f480266bd7e4e,Xadrez de madeira,brinquedos,25.23,0.0,2021-01-01,Thiago Silva,BA,5,cartao_credito,2,-13.29,-41.71
1,673a4b53528f480266bd7e4f,Impressora,eletronicos,322.04,14.7321002401,2021-01-01,João Souza,SP,3,cartao_credito,1,-22.19,-48.79
2,673a4b53528f480266bd7e50,Mesa de centro,moveis,282.22,12.6118050347,2021-01-01,João Souza,SP,3,boleto,1,-22.19,-48.79
3,673a4b53528f480266bd7e51,Tablet ABXY,eletronicos,1100.42,68.4513476183,2021-01-01,Beatriz Moraes,SP,1,cupom,1,-22.19,-48.79
4,673a4b53528f480266bd7e52,Fogão,eletrodomesticos,791.81,42.4446263246,2021-01-01,Juliana Costa,SP,4,boleto,1,-22.19,-48.79
5,673a4b53528f480266bd7e53,Violão,instrumentos musicais,316.84,17.1595536296,2022-01-01,Pedro Gomes,SP,5,cartao_credito,2,-22.19,-48.79
6,673a4b53528f480266bd7e54,Geladeira,eletrodomesticos,2322.94,121.2740057251,2022-01-01,Thiago Silva,RS,5,cartao_credito,10,-30.17,-53.5
7,673a4b53528f480266bd7e55,Secadora de roupas,eletrodomesticos,1893.04,107.1782993366,2022-01-01,Beatriz Moraes,PR,4,cartao_credito,2,-24.89,-51.55
8,673a4b53528f480266bd7e56,Jogo de copos,utilidades domesticas,37.44,2.8819825404,2022-01-01,Thiago Silva,RJ,4,cartao_credito,4,-22.25,-42.66
9,673a4b53528f480266bd7e57,Blocos de montar,brinquedos,36.84,0.0,2022-01-01,Pedro Gomes,SP,4,boleto,1,-22.19,-48.79
10,673a4b53528f480266bd7e58,Iniciando em programação,livros,63.25,3.894137208,2022-01-01,Juliana Costa,RJ,5,cartao_credito,4,-22.25,-42.66
11,673a4b53528f480266bd7e59,Fogão,eletrodomesticos,607.49,33.2354300998,2022-01-01,Juliana Costa,MG,5,cartao_credito,3,-18.1,-44.38
12,673a4b53528f480266bd7e5a,Bola de vôlei,esporte e lazer,75.11,1.5838206052,2022-01-01,Isabella Pereira,SP,5,cartao_credito,1,-22.19,-48.79
13,673a4b53528f480266bd7e5b,Bateria,instrumentos musicais,1031.24,55.199204426,2023-01-01,Bruno Rodrigues,BA,5,boleto,1,-13.29,-41.71
14,673a4b53528f480266bd7e5c,Boneca bebê,brinquedos,50.72,3.2317919389,2023-01-01,Isabella Pereira,SP,4,boleto,1,-22.19,-48.79
15,673a4b53528f480266bd7e5d,Sofá retrátil,moveis,888.09,51.7681594786,2023-01-01,Rafael Costa,SP,4,cartao_credito,20,-22.19,-48.79
16,673a4b53528f480266bd7e5e,Pandeiro,instrumentos musicais,47.05,2.7883968633,2023-01-01,Bianca Santos,RS,5,cartao_credito,6,-30.17,-53.5
